,epoch,num_frames_all,strehl_mean_all,strehl_mean_combo,strehl_std_all,strehl_med_all,strehl_mad_all,fwhm_mean_all,fwhm_std_all,fwhm_med_all,fwhm_mad_all,num_frames_combo,strehl_std_combo,strehl_med_combo,strehl_mad_combo,fwhm_mean_combo,fwhm_std_combo,fwhm_med_combo,fwhm_mad_combo,weighted_DIMM,weighted_MASS,legacy_num_detections,single_num_detections,legacy_num_central_detections,single_num_central_detections,legacy_num_bright_detections,single_num_bright_detections,legacy_stf_x_err_pix_median,single_stf_x_err_pix_median,legacy_stf_x_err_pix_median_abs_dev,single_stf_x_err_pix_median_abs_dev,legacy_stf_y_err_pix_median,single_stf_y_err_pix_median,legacy_stf_y_err_pix_median_abs_dev,single_stf_y_err_pix_median_abs_dev,legacy_align_x_err_mas_median,single_align_x_err_mas_median,legacy_align_x_err_mas_median_abs_dev,single_align_x_err_mas_median_abs_dev,legacy_align_y_err_mas_median,single_align_y_err_mas_median,legacy_align_y_err_mas_median_abs_dev,single_align_y_err_mas_median_abs_dev,legacy_stf_mag_err_median,single_stf_mag_err_median,legacy_stf_mag_err_median_abs_dev,single_stf_mag_err_median_abs_dev,legacy_stf_bright_x_err_pix_median,single_stf_bright_x_err_pix_median,legacy_stf_bright_x_err_pix_median_abs_dev,single_stf_bright_x_err_pix_median_abs_dev,legacy_stf_bright_y_err_pix_median,single_stf_bright_y_err_pix_median,legacy_stf_bright_y_err_pix_median_abs_dev,single_stf_bright_y_err_pix_median_abs_dev,legacy_align_bright_x_err_mas_median,single_align_bright_x_err_mas_median,legacy_align_bright_x_err_mas_median_abs_dev,single_align_bright_x_err_mas_median_abs_dev,legacy_align_bright_y_err_mas_median,single_align_bright_y_err_mas_median,legacy_align_bright_y_err_mas_median_abs_dev,single_align_bright_y_err_mas_median_abs_dev,legacy_align_central_x_err_mas_median,single_align_central_x_err_mas_median,legacy_align_central_y_err_mas_median,single_align_central_y_err_mas_median,legacy_align_central_x_err_mas_median_abs_dev,single_align_central_x_err_mas_median_abs_dev,legacy_align_central_y_err_mas_median_abs_dev,single_align_central_y_err_mas_median_abs_dev,legacy_stf_bright_mag_err_median,single_stf_bright_mag_err_median,legacy_stf_bright_mag_err_median_abs_dev,single_stf_bright_mag_err_median_abs_dev
27,20110823_0824nirc2,218.0,0.35001,0.35863,0.04753,0.3515,0.0335,61.04289,4.07396,60.595,2.745,197.0,0.04189,0.36,0.03,60.17985,3.17899,60.12,2.43,0.6519003686574494,0.2407729290859551,1557.0,1775.0,19.0,25.0,241.0,242.0,0.048,0.061,0.038,0.051,0.049,0.067,0.038,0.057,0.48,0.61,0.38,0.51,0.49,0.67,0.38,0.56,0.02,0.025,0.0,0.0,0.01,0.008,0.002,0.002,0.011,0.007,0.003,0.002,0.1,0.08,0.02,0.02,0.11,0.07,0.03,0.02,0.09,0.08,0.1,0.06,0.02,0.02,0.02,0.02,0.02,0.025,0.0,0.0
28,20110823nirc2,108.0,0.37574,0.38127,0.04176,0.3795,0.0255,60.11185,4.18635,59.465,2.77,102.0,0.03728,0.38,0.02,59.51167,3.37096,59.225,2.565,0.7272241533246484,0.2530840696171,1583.0,1718.0,18.0,17.0,241.0,246.0,0.047,0.06,0.036,0.05,0.05,0.067,0.037,0.056,0.47,0.605,0.36,0.505,0.5,0.665,0.37,0.555,0.02,0.025,0.0,0.0,0.012,0.009,0.003,0.004,0.014,0.007,0.003,0.004,0.12,0.09,0.03,0.035,0.14,0.07,0.03,0.04,0.115,0.08,0.13,0.06,0.035,0.03,0.025,0.03,0.02,0.025,0.0,0.0
29,20110824nirc2,110.0,0.32475,0.32951,0.03844,0.3275,0.028,61.957,3.74154,61.585,2.635,102.0,0.03563,0.33,0.025,61.35784,3.18039,61.465,2.35,0.5564914991756754,0.2239394507724861,1348.0,1223.0,15.0,9.0,239.0,244.0,0.042,0.059,0.032,0.047,0.05,0.068,0.041,0.052,0.42,0.59,0.32,0.47,0.5,0.68,0.415,0.52,0.025,0.03,0.0,0.0,0.01,0.01,0.003,0.004,0.008,0.011,0.003,0.006,0.1,0.1,0.03,0.04,0.08,0.115,0.03,0.065,0.09,0.06,0.09,0.06,0.03,0.01,0.04,0.01,0.025,0.03,0.0,0.0
30,20120515_0518nirc2,290.0,0.31048,0.3352,0.05028,0.311,0.035,62.70417,6.30583,61.465,4.06,202.0,0.03589,0.33,0.03,59.33564,2.96266,59.61,2.365,-1.0,-1.0,1406.0,1228.0,20.0,4.0,242.0,241.0,0.034,0.081,0.028,0.064,0.04,0.092,0.032,0.074,0.34,0.81,0.28,0.63,0.4,0.92,0.32,0.74,0.025,0.038,0.0,0.0,0.005,0.013,0.002,0.004,0.007,0.015,0.003,0.007,0.055,0.13,0.015,0.04,0.07,0.15,0.03,0.07,0.04,0.155,0.075,0.13,0.01,0.03,0.035,0.05,0.025,0.038,0.0,0.0
31,20120515nirc2,207.0,0.32554,0.33617,0.04417,0.325,0.031,60.06333,3.93893,59.77,2.7,180.0,0.03718,0.33,0.03,58.98006,2.89196,59.075,2.135,-1.0,-1.0,1408.0,1330.0,14.0,8.0,242.0,245.0,0.038,0.076,0.03,0.06,0.04,0.087,0.032,0.069,0.38,0.76,0.3,0.6,0.4,0.87,0.32,0.69,0.027,0.038,0.0,0.0,0.009,0.013,0.003,0.004,0.008,0.013,0.003,0.006,0.09,0.13,0.03,0.04,0.08,0.13,0.03,0.06,0.08,0.095,0.075,0.09,0.02,0.02,0.035,0.01,0.027,0.038,0.0,0.0
32,20120518nirc2,83.0,0.27292,0.28559,0.04462,0.27,0.024,69.29036,6.28229,68.67,4.36,68.0,0.03583,0.28,0.02,67.26647,4.12993,67.51,3.47,-1.0,-1.0,1087.0,997.0,10.0,9.0,241.0,240.0,0.036,0.064,0.027,0.048,0.041,0.074,0.03,0.058,0.36,0.64,0.27,0.48,0.41,0.74,0.3,0.58,0.016,0.03,0.0,0.0,0.009,0.013,0.003,0.007,0.011,0.013,0.005,0.006,0.09,0.13,0.03,0.07,0.11,0.13,0.05,0.06,0.1,0.06,0.105,0.08,0.04,0.01,0.025,0.02,0.016,0.03,0.0,0.0
33,20120724nirc2,226.0,0.33796,0.37439,0.07411,0.351,0.048,62.80938,8.06366,59.71,4.22,164.0,0.04592,0.37,0.03,58.62378,3.34727,58.025,2.13,0.6369880264490285,0.1810711679225317,1414.0,1288.0,21.0,9.0,252.0,245.0,0.039,0.061,0.032,0.049,0.048,0.077,0.037,0.06,0.39,0.61,0.32,0.49,0.475,0.77,0.375,0.6,0.017,0.036,0.0,0.0,0.007,0.009,0.003,0.005,0.01,0.013,0.004,0.006,0.07,0.09,0.03,0.05,0.1,0.13,0.035,0.06,0.06,0.06,0.1,0.1,0.02,0.02,0.04,0.05,0.017,0.036,0.0,0.0
34,20130426_0427nirc2,267.0,0.23313,0.28126,0.06052,0.244,0.044,75.5724,12.00905,72.48,7.67,135.0,0.03114,0.28,0.02,66.41348,3.40265,66.24,2.89,0.7422174304553605,0.2214989212705519,1084.0,1127.0,15.0,5.0,237.0,238.0,0.038,0.057,0.03,0.041,0.042,0.066,0.03,0.052,0.38,0.57,0.3,0.41,0.415,0.66,0.295,0.51,0.051,0.057,0.0,0.0,0.009,0.018,0.005,0.005,0.013,0.014,0.004,0.005,0.09,0.18,0.05,0.05,0.13,0.14,0.04,0.05,0.06,0.16,0.12,0.09,0.02,0.0,0.01,0.01,0.051,0.057,0.0,0.0
35,20130426nirc2,123.0,0.2336,0.27547,0.06026,0.25,0.044,72.74585,10.55751,68.74,5.53,75.0,0.02999,0.27,0.02,65.5264,3.00695,64.81,2.29,0.9142174675914212,0.2302370707911961,1064.0,1065.0,15.0,7.0,236.0,235.0,0.038,0.054,0.028,0.042,0.043,0.059,0.033,0.047,0.38,0.54,0.28,0.42,0.43,0.59,0.33,0.47,0.066,0.068,0.0,0.0,0.011,0.01,0.005,0.005,0.01,0.011,0.004,0.005,0.11,0.1,0.05,0.05,0.1,0.11,0.04,0.05,0.08,0.06,0.08,0.1,0.04,0.01,0.03,0.04,0.066,0.068,0.0,0.0
36,20130427nirc2,144.0,0.23274,0.27818,0.06074,0.2365,0.0415,77.98674,12.63104,75.12,7.5,77.0,0.03403,0.27,0.02,69.02584,4.23519,69.87,3.27,0.5468364816169268,0.2220701996543471,1137.0,1136.0,12.0,4.0,239.0,245.0,0.043,0.059,0.031,0.046,0.049,0.063,0.034,0.049,0.43,0.59,0.31,0.46,0.49,0.63,0.34,0.49,0.038,0.042,0.0,0.0,0.012,0.011,0.005,0.005,0.016,0.012,0.004,0.006,0.12,0.11,0.05,0.05,0.16,0.12,0.04,0.06,0.135,0.105,0.165,0.12,0.045,0.045,0.035,0.03,0.038,0.042,0.0,0.0
37,20130720nirc2,238.0,0.36305,0.38446,0.0658,0.3605,0.0415,60.44824,6.17567,59.6,3.8,195.0,0.04869,0.38,0.04,58.26113,3.63205,58.36,3.06,-1.0,-1.0,1465.0,1670.0,9.0,13.0,249.0,249.0,0.043,0.056,0.035,0.045,0.052,0.068,0.042,0.056,0.43,0.56,0.35,0.45,0.52,0.68,0.42,0.56,0.03,0.04,0.0,0.0,0.007,0.007,0.004,0.003,0.008,0.007,0.005,0.005,0.07,0.07,0.04,0.03,0.08,0.07,0.05,0.05,0.06,0.07,0.06,0.09,0.01,0.02,0.02,0.07,0.03,0.04,0.0,0.0
38,20140319_0320nirc2,40.0,0.2145,0.29368,0.0838,0.227,0.088,84.7825,19.27712,77.71,15.53,19.0,0.03375,0.28,0.02,66.52316,4.157,67.48,3.41,0.7422021145576677,0.7834833700972862,931.0,1064.0,5.0,8.0,222.0,223.0,0.043,0.041,0.029,0.03,0.048,0.048,0.034,0.037,0.43,0.41,0.29,0.3,0.48,0.48,0.34,0.37,0.043,0.05,0.0,0.0,0.015,0.011,0.007,0.004,0.012,0.01,0.005,0.005,0.15,0.11,0.065,0.04,0.12,0.1,0.05,0.05,0.15,0.095,0.1,0.08,0.04,0.015,0.03,0.04,0.043,0.05,0.0,0.0
39,20140319nirc2,18.0,0.13011,0.13294,0.01863,0.131,0.008,104.68167,7.23239,104.115,3.785,17.0,0.01672,0.13,0.01,103.56471,5.73826,104.06,3.25,1.3992710666012578,0.8182241845981597,427.0,435.0,2.0,4.0,196.0,199.0,0.094,0.079,0.06,0.049,0.086,0.075,0.043,0.037,0.94,0.79,0.6,0.49,0.86,0.75,0.43,0.37,0.105,0.119,0.0,0.0,0.051,0.042,0.03,0.019,0.054,0.046,0.023,0.018,0.515,0.42,0.305,0.19,0.54,0.46,0.23,0.18,0.845,0.275,0.475,0.275,0.315,0.04,0.135,0.045,0.105,0.119,0.0,0.0
40,20140320nirc2,22.0,0.28355,0.29368,0.04347,0.273,0.02,68.50136,6.6179,68.08,3.92,19.0,0.03375,0.28,0.02,66.52316,4.157,67.48,3.41,0.7422021145576677,0.7834833700972862,931.0,1064.0,5.0,8.0,222.0,223.0,0.043,0.041,0.029,0.03,0.048,0.048,0.034,0.037,0.43,0.41,0.29,0.3,0.48,0.48,0.34,0.37,0.043,0.05,0.0,0.0,0.015,0.011,0.007,0.004,0.012,0.01,0.005,0.005,0.15,0.11,0.065,0.04,0.12,0.1,0.05,0.05,0.15,0.095,0.1,0.08,0.04,0.015,0.03,0.04,0.043,0.05,0.0,0.0
41,20140418_0419nirc2,23.0,0.14096,0.2225,0.04394,0.127,0.019,107.61739,20.34233,110.49,12.53,4.0,0.01639,0.215,0.005,76.6475,3.61035,78.135,1.055,1.709564854319164,1.0540174289787327,699.0,677.0,13.0,7.0,215.0,207.0,0.065,0.054,0.041,0.036,0.058,0.049,0.034,0.028,0.65,0.54,0.41,0.36,0.58,0.49,0.34,0.28,0.033,0.035,0.0,0.0,0.023,0.02,0.01,0.01,0.025,0.025,0.01,0.01,0.23,0.2,0.1,0.1,0.25,0.25,0.1,0.1,0.15,0.2,0.24,0.33,0.02,0.07,0.06,0.05,0.033,0.035,0.0,0.0
42,20140418nirc2,15.0,0.15553,0.2225,0.04724,0.143,0.03,99.55,18.7227,99.36,11.95,4.0,0.01639,0.215,0.005,76.6475,3.61035,78.135,1.055,1.709564854319164,1.0540174289787327,699.0,677.0,13.0,7.0,215.0,207.0,0.065,0.054,0.041,0.036,0.058,0.049,0.034,0.028,0.65,0.54,0.41,0.36,0.58,0.49,0.34,0.28,0.033,0.035,0.0,0.0,0.023,0.02,0.01,0.01,0.025,0.025,0.01,0.01,0.23,0.2,0.1,0.1,0.25,0.25,0.1,0.1,0.15,0.2,0.24,0.33,0.02,0.07,0.06,0.05,0.033,0.035,0.0,0.0
43,20140419nirc2,8.0,0.11363,0.12167,0.01485,0.118,0.013,122.74375,13.47614,115.925,5.25,6.0,0.01213,0.12,0.005,115.90333,7.1975,112.645,1.97,1.7213220216629777,1.6924429601708553,235.0,242.0,1.0,2.0,183.0,174.0,0.098,0.087,0.064,0.058,0.101,0.095,0.066,0.057,0.98,0.87,0.64,0.58,1.01,0.95,0.66,0.575,0.093,0.08,0.0,0.0,0.073,0.058,0.047,0.036,0.073,0.067,0.044,0.039,0.73,0.58,0.47,0.36,0.73,0.665,0.44,0.385,2.62,0.525,2.34,0.775,0.0,0.245,0.0,0.535,0.093,0.08,0.0,0.0
44,20140512nirc2,9.0,0.27189,0.27111,0.04242,0.264,0.036,67.72111,4.99801,68.32,3.72,9.0,0.0404,0.26,0.03,67.72111,4.99801,68.32,3.72,1.3122837739690296,0.3473791898009998,851.0,918.0,11.0,8.0,222.0,218.0,0.057,0.058,0.038,0.038,0.066,0.067,0.041,0.044,0.57,0.585,0.38,0.385,0.66,0.67,0.41,0.44,0.046,0.046,0.0,0.0,0.022,0.021,0.011,0.01,0.027,0.024,0.012,0.01,0.22,0.205,0.11,0.095,0.27,0.24,0.12,0.1,0.13,0.165,0.16,0.22,0.07,0.065,0.04,0.09,0.046,0.046,0.0,0.0
45,20140519nirc2,173.0,0.30514,0.31831,0.045,0.311,0.027,65.95451,5.56567,64.88,2.72,148.0,0.0303,0.32,0.02,64.14155,3.1338,63.895,2.33,0.7737172889309946,0.2374220079478444,1246.0,1141.0,19.0,6.0,249.0,246.0,0.034,0.061,0.028,0.048,0.041,0.081,0.032,0.064,0.34,0.61,0.28,0.48,0.41,0.81,0.32,0.64,0.031,0.037,0.0,0.0,0.006,0.01,0.004,0.006,0.008,0.013,0.005,0.007,0.06,0.1,0.04,0.06,0.08,0.13,0.05,0.07,0.05,0.045,0.05,0.065,0.02,0.02,0.02,0.015,0.031,0.037,0.0,0.0
46,20140703_0704nirc2,261.0,0.21106,0.27256,0.1005,0.217,0.05,81.66031,19.23014,76.91,7.45,125.0,0.03399,0.27,0.03,70.42632,3.93584,70.81,2.83,0.8815855883819329,0.4266325143569112,986.0,1122.0,10.0,15.0,251.0,245.0,0.048,0.046,0.036,0.036,0.052,0.047,0.039,0.036,0.48,0.46,0.36,0.355,0.52,0.47,0.39,0.36,0.024,0.029,0.0,0.0,0.012,0.009,0.006,0.005,0.013,0.011,0.007,0.006,0.12,0.09,0.06,0.05,0.13,0.11,0.07,0.06,0.065,0.07,0.11,0.08,0.04,0.04,0.055,0.03,0.024,0.029,0.0,0.0
47,20140703nirc2,66.0,0.24633,0.27217,0.05146,0.2425,0.0345,75.29091,8.97236,74.385,5.315,46.0,0.03735,0.27,0.03,70.54826,4.48124,71.795,2.84,0.8165807913874974,0.2698247820499143,1054.0,1039.0,19.0,6.0,216.0,212.0,0.041,0.043,0.027,0.03,0.045,0.049,0.032,0.035,0.41,0.43,0.27,0.3,0.45,0.49,0.32,0.35,0.028,0.028,0.0,0.0,0.015,0.013,0.006,0.005,0.014,0.013,0.006,0.005,0.15,0.13,0.06,0.055,0.14,0.13,0.06,0.05,0.14,0.09,0.09,0.105,0.04,0.02,0.04,0.045,0.028,0.028,0.0,0.0
48,20140704nirc2,195.0,0.19912,0.2686,0.10982,0.206,0.053,83.8161,21.19752,79.09,9.13,86.0,0.03383,0.27,0.03,70.87895,3.85514,70.86,2.775,0.9230331441558098,0.5203738996073647,900.0,897.0,13.0,9.0,234.0,234.0,0.045,0.042,0.031,0.03,0.052,0.048,0.035,0.035,0.45,0.42,0.31,0.3,0.52,0.48,0.35,0.35,0.027,0.028,0.0,0.0,0.014,0.012,0.005,0.007,0.017,0.013,0.007,0.005,0.14,0.12,0.05,0.07,0.17,0.13,0.07,0.05,0.13,0.04,0.14,0.08,0.04,0.02,0.02,0.0,0.027,0.028,0.0,0.0
49,20140803_0806nirc2,187.0,0.33549,0.3785,0.09061,0.36,0.053,64.88754,18.66427,58.36,3.84,140.0,0.04562,0.38,0.03,57.15314,3.14709,56.77,2.19,0.9877385387701656,0.1879012894086869,1178.0,1325.0,11.0,13.0,249.0,251.0,0.034,0.071,0.024,0.054,0.036,0.086,0.03,0.066,0.34,0.71,0.24,0.54,0.36,0.86,0.3,0.66,0.037,0.047,0.0,0.0,0.01,0.012,0.004,0.005,0.006,0.017,0.004,0.006,0.1,0.12,0.04,0.05,0.06,0.17,0.04,0.06,0.07,0.1,0.03,0.13,0.01,0.03,0.02,0.01,0.037,0.047,0.0,0.0
50,20140803nirc2,22.0,0.14614,0.16917,0.03227,0.146,0.022,109.62045,21.87373,102.825,15.74,12.0,0.02139,0.17,0.02,93.04167,6.23994,92.53,4.59,2.2477136462658223,1.685550996606001,498.0,542.0,3.0,8.0,216.0,216.0,0.062,0.055,0.041,0.035,0.066,0.063,0.037,0.038,0.62,0.55,0.41,0.35,0.66,0.63,0.37,0.38,0.039,0.056,0.0,0.0,0.032,0.025,0.017,0.012,0.038,0.029,0.016,0.012,0.32,0.245,0.17,0.115,0.38,0.295,0.16,0.125,0.21,0.145,0.35,0.225,0.02,0.06,0.01,0.09,0.039,0.056,0.0,0.0
51,20140804nirc2,28.0,0.29018,0.30167,0.05083,0.279,0.0345,65.09536,5.91503,65.355,3.355,24.0,0.04249,0.29,0.03,63.44625,3.98723,64.245,3.15,1.2379037060715326,0.437770294155605,990.0,1223.0,8.0,19.0,239.0,242.0,0.037,0.043,0.028,0.034,0.046,0.054,0.034,0.042,0.37,0.43,0.28,0.34,0.46,0.54,0.34,0.42,0.042,0.041,0.0,0.0,0.008,0.009,0.004,0.003,0.012,0.01,0.005,0.005,0.08,0.09,0.04,0.03,0.12,0.1,0.05,0.05,0.03,0.09,0.095,0.1,0.01,0.05,0.01,0.03,0.042,0.041,0.0,0.0
52,20140806nirc2,137.0,0.37516,0.38429,0.05254,0.378,0.036,57.66168,4.23702,56.83,2.31,126.0,0.0427,0.39,0.03,56.76198,2.92697,56.435,2.14,0.9652738494818918,0.1609509386011476,1190.0,1345.0,12.0,10.0,250.0,248.0,0.037,0.063,0.027,0.048,0.037,0.073,0.029,0.059,0.37,0.63,0.27,0.48,0.375,0.73,0.295,0.59,0.037,0.045,0.0,0.0,0.01,0.015,0.004,0.005,0.009,0.012,0.004,0.006,0.1,0.15,0.04,0.05,0.09,0.12,0.04,0.06,0.09,0.14,0.06,0.085,0.02,0.02,0.02,0.025,0.037,0.045,0.0,0.0
53,20150331_0402nirc2,96.0,0.23807,0.30538,0.07445,0.2365,0.049,79.67312,30.95278,73.955,7.025,39.0,0.04156,0.3,0.02,65.05436,3.99414,65.62,3.16,0.5470113010494551,0.2624893847718333,1024.0,1025.0,10.0,6.0,249.0,248.0,0.039,0.072,0.028,0.054,0.043,0.084,0.03,0.063,0.39,0.72,0.28,0.53,0.43,0.84,0.3,0.63,0.062,0.062,0.0,0.0,0.014,0.018,0.007,0.011,0.016,0.022,0.007,0.01,0.14,0.18,0.07,0.105,0.16,0.22,0.07,0.1,0.14,0.14,0.145,0.155,0.075,0.045,0.03,0.02,0.062,0.062,0.0,0.0
54,20150331nirc2,59.0,0.22988,0.2764,0.05024,0.22,0.035,76.25627,8.70544,76.41,5.29,25.0,0.03357,0.28,0.02,68.3252,4.04396,68.22,3.35,0.5066288468956137,0.2886351987820638,905.0,1001.0,11.0,11.0,222.0,220.0,0.04,0.04,0.03,0.03,0.041,0.041,0.029,0.028,0.4,0.4,0.3,0.3,0.41,0.41,0.29,0.28,0.073,0.076,0.0,0.0,0.01,0.009,0.005,0.003,0.014,0.013,0.008,0.005,0.1,0.09,0.05,0.03,0.14,0.13,0.08,0.05,0.06,0.08,0.11,0.13,0.01,0.03,0.04,0.03,0.073,0.076,0.0,0.0
55,20150401nirc2,15.0,0.16953,0.274,0.09183,0.151,0.087,112.76667,65.95157,85.07,15.88,5.0,0.03499,0.25,0.01,67.712,3.65796,69.19,2.84,0.7217394091004289,0.1833670613766018,825.0,901.0,6.0,12.0,226.0,227.0,0.047,0.051,0.031,0.035,0.052,0.06,0.036,0.044,0.47,0.51,0.31,0.35,0.52,0.6,0.36,0.44,0.078,0.077,0.0,0.0,0.017,0.017,0.006,0.006,0.017,0.016,0.008,0.006,0.17,0.17,0.06,0.06,0.165,0.16,0.075,0.06,0.16,0.16,0.11,0.125,0.06,0.07,0.05,0.02,0.078,0.077,0.0,0.0
56,20150402nirc2,22.0,0.30677,0.32824,0.05972,0.309,0.042,66.27273,7.36272,64.625,4.645,17.0,0.04232,0.32,0.03,63.13118,4.01474,62.95,3.08,0.5818286677318322,0.2568454224264863,1088.0,1150.0,7.0,10.0,233.0,235.0,0.044,0.051,0.032,0.037,0.048,0.058,0.035,0.042,0.44,0.51,0.32,0.37,0.48,0.585,0.35,0.425,0.053,0.053,0.0,0.0,0.015,0.014,0.006,0.007,0.015,0.015,0.006,0.005,0.15,0.14,0.06,0.07,0.15,0.15,0.06,0.05,0.1,0.065,0.11,0.115,0.02,0.015,0.03,0.02,0.053,0.053,0.0,0.0
57,20150514nirc2,100.0,0.14414,0.19,0.0402,0.14,0.0315,96.2009,15.94158,93.36,11.48,32.0,0.02462,0.185,0.015,79.69031,4.41729,81.3,3.01,0.7110862867207998,0.6671793833243924,750.0,789.0,10.0,10.0,235.0,236.0,0.052,0.048,0.038,0.033,0.063,0.063,0.04,0.041,0.52,0.48,0.38,0.33,0.63,0.63,0.4,0.41,0.05,0.047,0.0,0.0,0.018,0.017,0.01,0.008,0.031,0.026,0.014,0.013,0.18,0.17,0.1,0.08,0.31,0.26,0.14,0.13,0.14,0.11,0.205,0.2,0.07,0.05,0.09,0.08,0.05,0.047,0.0,0.0
58,20150809_0811nirc2,306.0,0.36229,0.40379,0.07547,0.371,0.052,61.79075,7.7792,59.745,3.915,203.0,0.04345,0.4,0.03,57.47995,3.21939,57.16,2.44,-1.0,-1.0,1332.0,1536.0,8.0,16.0,253.0,250.0,0.043,0.067,0.036,0.054,0.044,0.068,0.034,0.055,0.43,0.67,0.36,0.54,0.44,0.68,0.34,0.55,0.03,0.059,0.0,0.0,0.008,0.008,0.004,0.004,0.011,0.008,0.003,0.004,0.08,0.08,0.04,0.04,0.11,0.08,0.03,0.04,0.05,0.075,0.095,0.065,0.02,0.035,0.02,0.025,0.03,0.059,0.0,0.0
59,20150809nirc2,106.0,0.30102,0.34628,0.05929,0.3035,0.045,67.23726,7.99158,64.995,4.38,43.0,0.03073,0.35,0.01,61.83767,2.89039,61.91,1.54,0.920069377693594,0.2122429468608441,975.0,1058.0,11.0,7.0,254.0,248.0,0.045,0.065,0.034,0.05,0.042,0.071,0.029,0.052,0.45,0.65,0.34,0.495,0.42,0.705,0.29,0.515,0.041,0.048,0.0,0.0,0.014,0.013,0.009,0.008,0.014,0.018,0.007,0.009,0.145,0.13,0.085,0.08,0.145,0.18,0.065,0.09,0.09,0.34,0.13,0.16,0.03,0.21,0.04,0.08,0.041,0.048,0.0,0.0
60,20150810nirc2,110.0,0.40158,0.41296,0.05342,0.402,0.031,58.17227,5.07591,57.21,2.475,98.0,0.04319,0.41,0.03,56.805,3.17511,56.59,2.135,0.6745891575223977,0.3279391338341447,1318.0,1770.0,4.0,21.0,255.0,247.0,0.043,0.059,0.032,0.048,0.045,0.064,0.036,0.05,0.43,0.59,0.32,0.48,0.45,0.635,0.36,0.5,0.028,0.057,0.0,0.0,0.012,0.008,0.004,0.003,0.009,0.011,0.005,0.005,0.12,0.08,0.04,0.03,0.09,0.11,0.05,0.05,0.11,0.12,0.06,0.12,0.015,0.06,0.02,0.06,0.028,0.057,0.0,0.0
61,20150811nirc2,90.0,0.38644,0.41423,0.06961,0.4085,0.0325,59.79856,6.64339,57.725,2.765,71.0,0.03368,0.42,0.02,56.81831,2.61826,56.43,1.81,-1.0,-1.0,1334.0,1941.0,4.0,33.0,249.0,247.0,0.045,0.075,0.034,0.061,0.047,0.079,0.037,0.066,0.45,0.75,0.34,0.61,0.47,0.79,0.37,0.66,0.028,0.038,0.0,0.0,0.012,0.009,0.005,0.002,0.011,0.008,0.005,0.003,0.12,0.09,0.05,0.02,0.11,0.08,0.05,0.03,0.1,0.13,0.075,0.12,0.03,0.07,0.015,0.06,0.028,0.038,0.0,0.0
62,20160503nirc2,253.0,0.31601,0.36657,0.08496,0.333,0.052,68.37858,14.61939,63.42,5.17,166.0,0.04165,0.36,0.03,60.69867,3.5213,60.805,2.66,0.5983438363761415,0.246092725879559,1147.0,1261.0,14.0,12.0,257.0,252.0,0.04,0.079,0.031,0.06,0.038,0.08,0.028,0.062,0.4,0.79,0.31,0.6,0.38,0.8,0.28,0.62,0.026,0.036,0.0,0.0,0.009,0.016,0.005,0.006,0.011,0.015,0.005,0.006,0.09,0.16,0.05,0.06,0.11,0.15,0.05,0.06,0.065,0.125,0.095,0.145,0.045,0.03,0.03,0.04,0.026,0.036,0.0,0.0
63,20160712nirc2,39.0,0.16069,0.215,0.05134,0.149,0.039,93.61923,17.81907,90.07,13.34,16.0,0.02398,0.22,0.02,76.97187,3.69249,76.615,3.14,-1.0,-1.0,662.0,729.0,5.0,11.0,224.0,221.0,0.084,0.055,0.058,0.035,0.089,0.064,0.051,0.035,0.84,0.55,0.585,0.35,0.89,0.64,0.51,0.35,0.061,0.056,0.0,0.0,0.032,0.022,0.021,0.011,0.051,0.035,0.024,0.019,0.315,0.22,0.205,0.11,0.51,0.35,0.24,0.19,0.15,0.15,0.17,0.12,0.04,0.06,0.03,0.07,0.061,0.056,0.0,0.0
64,20160713nirc2,207.0,0.30304,0.32534,0.04842,0.31,0.034,62.54415,7.38148,61.04,3.44,148.0,0.03301,0.33,0.02,59.26851,2.96473,59.495,2.11,0.6654515501752665,0.2015574581552181,934.0,1047.0,7.0,10.0,253.0,250.0,0.04,0.079,0.03,0.058,0.042,0.082,0.032,0.062,0.4,0.79,0.3,0.58,0.42,0.82,0.32,0.62,0.044,0.026,0.0,0.0,0.012,0.013,0.007,0.008,0.012,0.017,0.008,0.009,0.12,0.13,0.07,0.08,0.12,0.17,0.08,0.09,0.06,0.085,0.07,0.115,0.02,0.045,0.02,0.045,0.044,0.026,0.0,0.0
65,20170504_0505nirc2,469.0,0.29959,0.37658,0.0825,0.305,0.059,69.48676,12.25081,66.72,7.51,184.0,0.04033,0.37,0.03,58.74875,2.98268,58.46,2.425,-1.0,-1.0,1207.0,1174.0,11.0,4.0,261.0,254.0,0.038,0.075,0.03,0.059,0.04,0.079,0.03,0.061,0.38,0.75,0.3,0.59,0.4,0.785,0.3,0.615,0.033,0.035,0.0,0.0,0.008,0.012,0.004,0.008,0.011,0.014,0.004,0.007,0.08,0.12,0.04,0.08,0.11,0.145,0.04,0.075,0.06,0.035,0.1,0.095,0.03,0.005,0.03,0.02,0.033,0.035,0.0,0.0
