             epoch single_multi          MJD       JYear num_frames_all strehl_mean_all strehl_mean_combo strehl_std_all strehl_med_all strehl_mad_all fwhm_mean_all fwhm_std_all fwhm_med_all fwhm_mad_all num_frames_combo strehl_std_combo strehl_med_combo strehl_mad_combo fwhm_mean_combo fwhm_std_combo fwhm_med_combo fwhm_mad_combo      weighted_DIMM       weighted_MASS
     20220816nirc2 single_night 59807.272498 2022.622238             37         0.15703           0.20231        0.04565        0.14800        0.02800      67.65703      9.42801     67.16000      6.01000               13          0.04353          0.21000          0.02000        58.70692        3.18718       57.91000        1.63000 0.9528991971073207  0.6513948034357262
     20220816nirc2 single_night 59807.272498 2022.622238             37         0.15703           0.20231        0.04565        0.14800        0.02800      67.65703      9.42801     67.16000      6.01000               13          0.04353          0.21000          0.02000        58.70692        3.18718       57.91000        1.63000 0.9528991971073207  0.6513948034357262
     20220816nirc2 single_night 59807.272498 2022.622238             37         0.15703           0.20231        0.04565        0.14800        0.02800      67.65703      9.42801     67.16000      6.01000               13          0.04353          0.21000          0.02000        58.70692        3.18718       57.91000        1.63000 0.9528991971073207  0.6513948034357262
     20220816nirc2 single_night 59807.272498 2022.622238             37         0.15703           0.20231        0.04565        0.14800        0.02800      67.65703      9.42801     67.16000      6.01000               13          0.04353          0.21000          0.02000        58.70692        3.18718       57.91000        1.63000 0.9528991971073207  0.6513948034357262
     20220816nirc2 single_night 59807.272498 2022.622238             37         0.15703           0.20231        0.04565        0.14800        0.02800      67.65703      9.42801     67.16000      6.01000               13          0.04353          0.21000          0.02000        58.70692        3.18718       57.91000        1.63000 0.9528991971073207  0.6513948034357262
     20220816nirc2 single_night 59807.272498 2022.622238             37         0.15703           0.20231        0.04565        0.14800        0.02800      67.65703      9.42801     67.16000      6.01000               13          0.04353          0.21000          0.02000        58.70692        3.18718       57.91000        1.63000 0.9528991971073207  0.6513948034357262
     20220816nirc2 single_night 59807.272498 2022.622238             37         0.15703           0.20231        0.04565        0.14800        0.02800      67.65703      9.42801     67.16000      6.01000               13          0.04353          0.21000          0.02000        58.70692        3.18718       57.91000        1.63000 0.9528991971073207  0.6513948034357262
     20220816nirc2 single_night 59807.272498 2022.622238             37         0.15703           0.20231        0.04565        0.14800        0.02800      67.65703      9.42801     67.16000      6.01000               13          0.04353          0.21000          0.02000        58.70692        3.18718       57.91000        1.63000 0.9528991971073207  0.6513948034357262
     20220816nirc2 single_night 59807.272498 2022.622238             37         0.15703           0.20231        0.04565        0.14800        0.02800      67.65703      9.42801     67.16000      6.01000               13          0.04353          0.21000          0.02000        58.70692        3.18718       57.91000        1.63000 0.9528991971073207  0.6513948034357262
20220819_0820nirc2  multi_night 59810.450659 2022.630940             95         0.20526           0.23423        0.04450        0.20400        0.03200      60.12263      7.61923     58.55000      5.22000               52          0.03427          0.23000          0.02000        54.57500        3.04085       54.38500        2.63000 0.7836551502144169  0.3156955743100376
