             epoch single_multi          MJD       JYear num_frames_all strehl_mean_all strehl_mean_combo strehl_std_all strehl_med_all strehl_mad_all fwhm_mean_all fwhm_std_all fwhm_med_all fwhm_mad_all num_frames_combo strehl_std_combo strehl_med_combo strehl_mad_combo fwhm_mean_combo fwhm_std_combo fwhm_med_combo fwhm_mad_combo      weighted_DIMM       weighted_MASS
     20190819nirc2 single_night 58714.316282 2019.629887             24         0.30167           0.30522        0.04603        0.29000        0.03350      68.83875      5.68126     70.82500      4.08000               23          0.04510          0.30000          0.03000        68.27000        5.09083       70.30000        4.28000 0.5681211272938008  0.1780267927228591
     20200707nirc2 single_night 59037.359042 2020.514330            230         0.26112           0.28462        0.05485        0.26350        0.03600      74.83822     13.20865     72.11500      4.57000              169          0.03626          0.28000          0.03000        70.21911        3.84210       70.29000        3.17000 0.6859502861250909 0.11544458842482601
     20200809nirc2 single_night 59070.309603 2020.604544             61         0.20995           0.25312        0.05824        0.20700        0.04300      78.93590     13.24936     74.66000      7.37000               32          0.03868          0.26000          0.02000        69.23094        3.75396       69.56000        2.92000 0.6978214331857533  0.3784609672575974
     20210429nirc2 single_night 59333.567594 2021.325305            111         0.47327           0.47342        0.04289        0.48400        0.03200      49.22369      1.92248     48.55000      0.92000              111          0.04353          0.48000          0.03000        49.22369        1.92248       48.55000        0.92000 0.7611691121461999 0.12685621804752942
20210513_0514nirc2  multi_night 59348.485125 2021.366147            277         0.24933           0.31586        0.07378        0.25300        0.06000      74.32451     13.32632     72.24000      8.44000              128          0.03411          0.32000          0.02000        63.50094        3.62486       63.19500        2.65500 0.6409893376731979  0.3411718988490881
     20210513nirc2 single_night 59347.537129 2021.363551            117         0.18910           0.22343        0.04696        0.19300        0.03600      84.57145     12.55625     80.41000      6.74000               67          0.02507          0.23000          0.02000        75.81299        3.76630       75.52000        3.23000 0.8854737214432887   0.581778127589424
     20210514nirc2 single_night 59348.523788 2021.366253            160         0.29337           0.31828        0.05674        0.30500        0.03550      66.83144      7.69664     64.24000      3.80000              122          0.03308          0.32000          0.02000        63.21311        3.44875       63.02500        2.50000 0.6281342768832617  0.3246869989067599
20210713_0714nirc2  multi_night 59408.528920 2021.530538            163         0.09625           0.28846        0.31478        0.18000        0.04200      91.44160     50.02071     89.62000      9.68000               13          0.04312          0.26000          0.02000        68.42769        5.19221       71.89000        1.45000 0.9231489951931814  0.5149178896963774
     20210713nirc2 single_night 59408.336554 2021.530011             63         0.20438           0.29800        0.05625        0.20200        0.03700      84.76714     11.24494     84.17000      7.87000               10          0.04490          0.30000          0.04000        67.18300        5.31294       67.73000        4.62000 0.7611699795775725  0.3393961065454962
     20210714nirc2 single_night 59409.338959 2021.532756            100         0.02812           0.22065        0.38407        0.16600        0.04400      95.64650     62.87262     91.03500     10.91000               31          0.02199          0.22000          0.02000        82.41742        5.02407       82.95000        3.47000 1.3624035077771923   0.937290911488771
20210812_0813nirc2  multi_night 59439.166355 2021.614418            148         0.37901           0.39942        0.05920        0.38500        0.03650      61.16385      5.87077     60.29000      3.33500              120          0.04138          0.40000          0.03000        58.97250        3.31196       58.58500        2.45500 0.8917181415628963 0.19333962162198173
20210812_0814nirc2  multi_night 59439.188657 2021.614480            171         0.36075           0.39764        0.07440        0.37500        0.04800      63.08240      7.92799     60.87000      4.04000              123          0.04250          0.40000          0.03000        59.08569        3.35548       58.72000        2.58000 0.9103848353012712 0.19226079988082756
     20210812nirc2 single_night 59438.253441 2021.611919             12         0.45308           0.45333        0.02901        0.45950        0.01850      53.65417      0.86088     53.27500      0.33500               12          0.02981          0.46000          0.02000        53.65417        0.86088       53.27500        0.33500  0.857065544227955 0.25971683158422876
     20210813nirc2 single_night 59439.283322 2021.614739            136         0.37248           0.38983        0.05668        0.38100        0.03350      61.82647      5.65920     60.58500      3.34000              115          0.03976          0.39000          0.03000        59.99478        3.31511       59.67000        2.54000 0.8944165686236465 0.18487216310058407
     20210814nirc2 single_night 59440.293883 2021.617505             23         0.24326           0.27467        0.05153        0.24500        0.04000      75.42783      8.33205     73.55000      5.11000               15          0.03594          0.28000          0.02000        70.27067        4.21862       71.49000        3.04000 1.7931726642022114 0.15162628574947534
     20210815nirc2 single_night 59441.275386 2021.620193             36         0.45967           0.46000        0.03814        0.46650        0.02600      50.15028      1.14406     50.18500      0.99500               36          0.03830          0.47000          0.02000        50.15028        1.14406       50.18500        0.99500 1.1229577497724836 0.15669978521650815
     20210821nirc2 single_night 59447.272654 2021.636612             48         0.39421           0.40911        0.07568        0.42000        0.03700      54.37042     10.14751     51.90000      1.54000               45          0.04966          0.43000          0.03000        52.29911        2.50248       51.85000        1.33000 1.0174854566371914  0.3195607038202167
20220514_0515nirc2  multi_night 59713.548072 2022.365635            252         0.31003           0.39455        0.10799        0.32800        0.07850      70.34750     17.08670     64.57500      7.67000              121          0.05608          0.40000          0.03000        57.99711        2.97726       57.83000        2.20000 0.6566092319844707  0.3081684638622218
     20220514nirc2 single_night 59713.527392 2022.365578            195         0.34005           0.39627        0.10011        0.36000        0.05100      65.70010     14.00467     60.92000      5.02000              118          0.05569          0.40000          0.03000        57.86814        2.90142       57.78000        2.15000 0.6539584284541987 0.31166247603711095
     20220515nirc2 single_night 59714.529767 2022.368322             57         0.20732           0.26550        0.06033        0.19800        0.03700      86.24649     17.12043     83.42000      9.75000               20          0.04489          0.27000          0.04000        69.92850        5.08312       69.13000        5.00500 0.6923144355214186  0.1850238640661701
     20220521nirc2 single_night 59720.498999 2022.384665             51         0.41843           0.42792        0.05700        0.44000        0.02500      56.54863      4.46232     55.64000      2.72000               48          0.04383          0.44000          0.03000        55.81250        3.29171       55.10000        2.25500               -1.0                -1.0
     20220525nirc2 single_night 59724.506966 2022.395639             66         0.37905           0.38982        0.04561        0.38300        0.02950      60.58227      4.68129     59.90000      2.78500               57          0.03576          0.39000          0.03000        59.21281        3.15530       59.63000        2.17000 0.5327985256650241 0.12995085991829858
     20220716nirc2 single_night 59776.316888 2022.537486             77         0.16010           0.22273        0.05603        0.16200        0.03400     103.18455     36.88827     91.28000     12.94000               22          0.02879          0.23000          0.01500        76.48364        3.27908       77.18000        2.17000 0.8629433367161132 0.21198667669602436
20220719_0722nirc2  multi_night 59781.439707 2022.551512            371         0.36059           0.37233        0.04898        0.36700        0.03300      61.26992      4.46475     60.58000      2.71000              317          0.04148          0.38000          0.03000        59.88338        2.91049       59.99000        2.08000               -1.0                -1.0
     20220719nirc2 single_night 59779.353514 2022.545800            143         0.32689           0.33707        0.04397        0.32900        0.03500      64.08790      4.42555     63.48000      2.77000              123          0.03886          0.34000          0.03000        62.77041        2.92213       62.82000        2.05000               -1.0                -1.0
     20220722nirc2 single_night 59782.328728 2022.553946            228         0.38173           0.38664        0.03914        0.38450        0.02450      59.50250      3.47105     58.93500      2.01000              214          0.03519          0.39000          0.02000        58.92491        2.68783       58.65000        1.81500 0.6054248285101236  0.2089786374023986
20220814_0815nirc2  multi_night 59806.197032 2022.619294            196         0.40547           0.46159        0.09738        0.44050        0.05500      59.76107      8.93913     55.78000      3.52500              138          0.04264          0.47000          0.03000        54.75399        2.82521       54.41000        1.82500 0.8272355575544258 0.19989055976621734
20220814_0816nirc2  multi_night 59806.258655 2022.619462            238         0.38747           0.45676        0.10066        0.41700        0.07600      61.43895     10.07972     57.81000      5.29500              148          0.04544          0.47000          0.03000        55.04804        2.98152       54.66000        1.99500 0.8423982345851841 0.23113323596495858
     20220814nirc2 single_night 59805.301547 2022.616842             72         0.29408           0.32694        0.06342        0.29100        0.04600      69.31486      7.93753     68.05500      4.68000               49          0.04464          0.31000          0.03000        64.81776        3.89317       65.28000        3.16000  1.497212012215795  0.6887004894796307
     20220815nirc2 single_night 59806.285800 2022.619537            124         0.47015           0.47098        0.03558        0.47650        0.02350      54.21371      2.43957     54.02500      1.49500              123          0.03446          0.48000          0.02000        54.13089        2.26924       53.96000        1.44000 0.7634683527811733 0.15838705061081879
     20220816nirc2 single_night 59807.275299 2022.622246             42         0.30348           0.33964        0.06782        0.30600        0.05250      69.26905     11.33071     68.12000      4.94500               28          0.04395          0.33000          0.03000        64.06679        4.21333       65.19500        3.73000 0.9845476596162708  0.6685762653714155
20220819_0820nirc2  multi_night 59810.559385 2022.631237            112         0.35079           0.39533        0.08060        0.35200        0.06150      64.14839      8.89614     62.36500      6.22000               75          0.05084          0.40000          0.04000        58.85493        3.97939       58.39000        3.42000 0.8318195617259497  0.3315455383620931
     20220819nirc2 single_night 59810.271446 2022.630449             56         0.40200           0.41549        0.06233        0.41150        0.03550      58.65464      5.88085     56.72000      2.73000               51          0.04295          0.43000          0.03000        57.19922        3.27065       56.61000        2.37000  0.745197074762966  0.3104424543870082
     20220820nirc2 single_night 59811.281543 2022.633214             56         0.29957           0.34062        0.06216        0.30750        0.03750      69.64214      7.95836     68.25500      5.67000               32          0.04130          0.34000          0.02000        63.85750        3.63488       64.22500        2.60000 1.0675538276796581 0.40264982299159613
20230512_0513nirc2  multi_night 60077.439282 2023.361915            395         0.26154           0.32686        0.07665        0.26900        0.06200      76.52278     14.16477     72.51000      7.78000              194          0.03574          0.33000          0.03000        65.88067        3.76683       65.36000        3.13000 0.6560651886266943 0.38916327018043007
     20230512nirc2 single_night 60076.549578 2023.359479            186         0.19860           0.24593        0.05307        0.19600        0.03700      87.00737     13.68586     84.42000      8.71000               81          0.03391          0.24000          0.02000        75.13074        3.99188       75.65000        2.96000 0.8208336519113368  0.7349978819878145
     20230513nirc2 single_night 60077.530454 2023.362164            209         0.31756           0.33092        0.04396        0.32200        0.03400      67.19201      5.25532     66.07000      3.64000              174          0.03494          0.33000          0.03000        65.46937        3.69586       65.09000        2.83500 0.6407413088506999 0.35658291934603453
